model_name,run_id,accuracy,f1_macro,cv_accuracy,training_time,all_metrics
RandomForest,705fde3c0d494bd7b84c268c004be7fd,0.9,0.899749373433584,0.95,0.04476785659790039,"{'accuracy': 0.9, 'precision_macro': 0.9023569023569024, 'recall_macro': 0.9, 'f1_macro': 0.899749373433584, 'precision_weighted': 0.9023569023569024, 'recall_weighted': 0.9, 'f1_weighted': 0.8997493734335839, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(0.8181818181818182), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.8571428571428571), 'precision_virginica': np.float64(0.8888888888888888), 'recall_virginica': np.float64(0.8), 'f1_virginica': np.float64(0.8421052631578947)}"
SVM_RBF,4ea98262c70f486bac91c75d8de2e9f6,0.9666666666666667,0.9665831244778612,0.975,0.0023088455200195312,"{'accuracy': 0.9666666666666667, 'precision_macro': 0.9696969696969697, 'recall_macro': 0.9666666666666667, 'f1_macro': 0.9665831244778612, 'precision_weighted': 0.9696969696969696, 'recall_weighted': 0.9666666666666667, 'f1_weighted': 0.9665831244778613, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.9473684210526315), 'precision_virginica': np.float64(0.9090909090909091), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(0.9523809523809523)}"
SVM_Linear,dff176aebecc428787a3d1ae3bf65fb0,1.0,1.0,0.9833333333333334,0.0013110637664794922,"{'accuracy': 1.0, 'precision_macro': 1.0, 'recall_macro': 1.0, 'f1_macro': 1.0, 'precision_weighted': 1.0, 'recall_weighted': 1.0, 'f1_weighted': 1.0, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(1.0), 'f1_versicolor': np.float64(1.0), 'precision_virginica': np.float64(1.0), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(1.0)}"
LogisticRegression,fdb8c6d6d8864eb38cba94b769663c6c,0.9666666666666667,0.9665831244778612,0.9666666666666668,0.01201486587524414,"{'accuracy': 0.9666666666666667, 'precision_macro': 0.9696969696969697, 'recall_macro': 0.9666666666666667, 'f1_macro': 0.9665831244778612, 'precision_weighted': 0.9696969696969696, 'recall_weighted': 0.9666666666666667, 'f1_weighted': 0.9665831244778613, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.9473684210526315), 'precision_virginica': np.float64(0.9090909090909091), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(0.9523809523809523)}"
DecisionTree,e1c4381cbdee4c2097a1862c41257505,0.9333333333333333,0.9333333333333332,0.9416666666666668,0.0010728836059570312,"{'accuracy': 0.9333333333333333, 'precision_macro': 0.9333333333333332, 'recall_macro': 0.9333333333333332, 'f1_macro': 0.9333333333333332, 'precision_weighted': 0.9333333333333333, 'recall_weighted': 0.9333333333333333, 'f1_weighted': 0.9333333333333333, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(0.9), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.9), 'precision_virginica': np.float64(0.9), 'recall_virginica': np.float64(0.9), 'f1_virginica': np.float64(0.9)}"
KNN,28bc80cb84624ee78bec9bc52fbb22a4,1.0,1.0,0.975,0.0007779598236083984,"{'accuracy': 1.0, 'precision_macro': 1.0, 'recall_macro': 1.0, 'f1_macro': 1.0, 'precision_weighted': 1.0, 'recall_weighted': 1.0, 'f1_weighted': 1.0, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(1.0), 'f1_versicolor': np.float64(1.0), 'precision_virginica': np.float64(1.0), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(1.0)}"
NaiveBayes,69283f66e46f459ab3fdd93e0c32c09e,0.9666666666666667,0.9665831244778612,0.9583333333333334,0.0014889240264892578,"{'accuracy': 0.9666666666666667, 'precision_macro': 0.9696969696969697, 'recall_macro': 0.9666666666666667, 'f1_macro': 0.9665831244778612, 'precision_weighted': 0.9696969696969696, 'recall_weighted': 0.9666666666666667, 'f1_weighted': 0.9665831244778613, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.9473684210526315), 'precision_virginica': np.float64(0.9090909090909091), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(0.9523809523809523)}"
GradientBoosting,05ef5c120dfb41cc89738b47cf2f9ce2,0.9666666666666667,0.9665831244778612,0.9666666666666668,0.08593392372131348,"{'accuracy': 0.9666666666666667, 'precision_macro': 0.9696969696969697, 'recall_macro': 0.9666666666666667, 'f1_macro': 0.9665831244778612, 'precision_weighted': 0.9696969696969696, 'recall_weighted': 0.9666666666666667, 'f1_weighted': 0.9665831244778613, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.9473684210526315), 'precision_virginica': np.float64(0.9090909090909091), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(0.9523809523809523)}"
