model_name,run_id,accuracy,f1_macro,cv_accuracy,cv_std,training_time,all_metrics,model_params
RandomForest,c768bcf499dc47558672cb277af4e816,0.9,0.899749373433584,0.95,0.016666666666666698,0.04136180877685547,"{'accuracy': 0.9, 'precision_macro': 0.9023569023569024, 'recall_macro': 0.9, 'f1_macro': 0.899749373433584, 'precision_weighted': 0.9023569023569024, 'recall_weighted': 0.9, 'f1_weighted': 0.8997493734335839, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(0.8181818181818182), 'recall_versicolor': np.float64(0.9), 'f1_versicolor': np.float64(0.8571428571428571), 'precision_virginica': np.float64(0.8888888888888888), 'recall_virginica': np.float64(0.8), 'f1_virginica': np.float64(0.8421052631578947)}","{'n_estimators': 100, 'max_depth': None}"
SVM_Linear,dea41ee20d1449a0a4adcf5711042911,1.0,1.0,0.9833333333333334,0.020412414523193135,0.0019729137420654297,"{'accuracy': 1.0, 'precision_macro': 1.0, 'recall_macro': 1.0, 'f1_macro': 1.0, 'precision_weighted': 1.0, 'recall_weighted': 1.0, 'f1_weighted': 1.0, 'precision_setosa': np.float64(1.0), 'recall_setosa': np.float64(1.0), 'f1_setosa': np.float64(1.0), 'precision_versicolor': np.float64(1.0), 'recall_versicolor': np.float64(1.0), 'f1_versicolor': np.float64(1.0), 'precision_virginica': np.float64(1.0), 'recall_virginica': np.float64(1.0), 'f1_virginica': np.float64(1.0)}","{'C': 1.0, 'kernel': 'linear'}"
